Date;Time;Flagging;'U12_[V]';'U23_[V]';'U31_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';'IL1_max_[A]';'IL2_max_[A]';'IL3_max_[A]';'I_Neutral_max_[A]';'IL1_min_[A]';'IL2_min_[A]';'IL3_min_[A]';'I_Neutral_min_[A]';'Pst_U12';'Pst_U23';'Pst_U31';'Plt_U12';'Plt_U23';'Plt_U31';'Unbalance_-_Voltage_(_Neg./Pos.)_[%]';'Unbalance_-_Current_(_Neg./Pos.)_[%]';'F_[Hz]';'P_total_min_[W]';'P_total_[W]';'P_total_[W]'_abs;'P_total_max_[W]';'S_total_min__[VA]';'S_total_[VA]';'S_total_max_[VA]';'PF_total';'PF_total'_abs;'cos(phi)';'tan(phi)';'QV_total_[Var]';'UL1_[V]';'UL2_[V]';'UL3_[V]';'UL1_max_[V]';'UL2_max_[V]';'UL3_max_[V]';'UL1_min_[V]';'UL2_min_[V]';'UL3_min_[V]';'Pst_UL1';'Pst_UL2';'Pst_UL3'
11.08.2021;13:00:00; ;411,283661;411,974915;413,342926;24,315096;21,965088;15,800879;6,883975;42,569626;46,29805;46,998798;15,948714;10,546121;5,077125;4,327003;2,123305;0,692474;0,717894;0,703893; ; ; ;0,293965;13,924895;50,004616;-3124,945557;12589,97266;12589,97266;24541,89844;5498,75;13211,62305;24756,82617;0,952947;0,952947;0,981455;0,195314;2461,72168;237,564117;237,633789;238,760178;238,624939;238,694214;239,952011;224,826218;223,671539;225,88382;0,69148;0,723037;0,710055
11.08.2021;13:10:00; ;412,36673;413,353058;414,572113;17,556858;11,605722;16,313751;4,444793;31,921934;28,087894;44,83783;14,73544;7,847737;3,20073;5,438151;1,380613;0,69103;0,73491;0,696538; ; ; ;0,308728;70,93399;49,98386;-11841,83008;5253,793457;5253,793457;13319,74316;3708,02832;7013,370605;14945,95508;0,749111;0,749111;0,888772;0,515711;2718,44458;238,354919;238,243851;239,48912;239,50679;239,29248;240,472656;226,289215;225,678665;227,835205;0,678007;0,721894;0,721302
11.08.2021;13:20:00; ;413,111084;414,221497;414,530975;27,523808;22,420887;19,588272;4,181777;52,851837;44,0765;50,908283;13,649549;10,751012;2,948268;4,810307;1,605426;0,662352;0,722463;0,709216; ; ; ;0,208143;91,752388;49,993675;-20711,97461;-1058,415649;1058,415649;18564,0625;3785,957031;8179,849609;24063,36328;-0,129393;0,129393;-0,150714;-6,5593;6777,118652;238,477905;238,900482;239,617386;239,379089;239,882462;240,784988;227,69989;226,81282;226,943649;0,66722;0,697566;0,740651
11.08.2021;13:30:00; ;413,256897;414,700043;415,593658;31,777426;26,414854;11,275177;3,943673;44,348114;37,770157;22,630587;13,433139;19,191273;7,302793;5,375588;1,529595;0,65512;0,721289;0,688782; ; ; ;0,327418;52,914303;49,999847;-16744,59766;-10387,25586;10387,25586;-4949,044922;11094,39453;14711,22559;19660,72852;-0,706077;0,706077;-0,759583;-0,856274;8863,371094;238,825043;238,955002;240,190826;239,695023;240,03093;241,157852;227,619934;226,80307;227,727951;0,648549;0,69045;0,719547
11.08.2021;13:40:00; ;413,65213;415,335236;416,299255;27,40093;26,748985;10,928813;5,057997;32,941906;37,113251;16,031885;13,720082;16,508604;11,204569;4,725775;1,575287;0,674257;0,698564;0,740565; ; ; ;0,37206;66,857002;49,989632;-15366,05176;-9106,644531;9106,644531;595,385742;8919,204102;13290,33106;18334,99414;-0,685208;0,685208;-0,743856;-0,89848;8150,79834;239,026825;239,431168;240,516586;240,11792;240,483154;241,758484;227,155838;228,923233;228,026718;0,70277;0,674567;0,728071
11.08.2021;13:50:00; ;414,921783;415,565491;416,712738;24,549273;21,847031;11,205419;4,498664;32,346573;36,031612;29,900261;14,124185;10,600718;3,382112;4,243214;1,47011;0,713001;0,713753;0,700116; ; ; ;0,250512;84,508621;49,999172;-16399,85938;-4568,24707;4568,24707;5487,547852;3768,892822;10029,09961;19092,81836;-0,455499;0,455499;-0,527594;-1,610134;7307,461426;239,682114;239,637802;240,757294;240,740585;240,952835;241,972885;227,130127;226,5681;228,216385;0,693593;0,725372;0,71254
11.08.2021;14:00:00; ;415,041473;416,341614;417,482361;22,2885;18,277124;8,500525;4,648786;36,129841;32,981064;17,874645;14,980046;10,540193;2,85466;4,004946;2,332957;0,690909;0,709844;0,691529;0,688826;0,723079;0,703275;0,337932;133,012619;50,000179;-12385,78125;-1672,958862;1672,958862;9392,040039;3454,223389;6949,754395;15367,96582;-0,240722;0,240722;-0,309601;-3,071264;5063,194824;239,757645;240,072891;241,209152;241,202332;241,11087;242,325882;226,737061;225,792206;228,300415;0,678405;0,70913;0,703734
11.08.2021;14:10:00; ;415,242767;416,641052;417,487915;24,234554;12,59215;12,322507;4,656012;43,522305;31,001667;29,616972;14,574759;11,808704;3,667936;5,215174;1,719692;0,699502;0,744561;0,704952; ; ; ;0,313616;91,946121;49,991116;-9880,760742;5890,094238;5890,094238;19486,49219;3881,624268;7440,441406;19786,6582;0,791632;0,791632;0,893787;0,501789;2963,966797;239,97876;240,091568;241,259247;241,168777;241,397263;242,489609;227,750397;226,029312;229,573715;0,671455;0,750432;0,736293
11.08.2021;14:20:00; ;416,723663;418,255127;418,580658;21,423994;21,759525;9,130576;3,383643;44,575703;43,084461;39,170296;12,752726;6,718712;3,086477;4,226812;1,30965;0,713368;0,726791;0,703997; ; ; ;0,272211;77,970749;49,985035;-21215,16211;-5367,220703;5367,220703;5975,938477;3122,214844;9075,026367;24074,97656;-0,591428;0,591428;-0,672126;-1,101634;5887,192871;240,806122;240,8479;242,093048;242,040955;242,091248;243,484436;228,356171;227,460754;229,366058;0,694605;0,729527;0,718619
11.08.2021;14:30:00; ;417,152527;418,613159;419,065125;17,090893;13,521602;12,782345;3,800271;47,607838;41,983971;26,512804;14,532627;8,077464;3,528215;4,992415;1,344908;0,708935;0,697116;0,732731; ; ; ;0,274575;131,917923;50,003002;-17548,23633;1885,377441;1885,377441;9699,681641;3570,584717;5098,823242;21108,44141;0,369767;0,369767;0,501301;1,726056;3282,333984;241,097183;241,105164;242,278122;242,333405;242,724503;243,479645;227,667831;229,376297;229,972397;0,721543;0,698179;0,73561
11.08.2021;14:40:00; ;420,36142;421,128235;421,380615;22,561241;19,91955;10,758386;3,685464;43,197392;36,029724;20,432636;14,542692;8,538913;2,851523;3,966892;1,658098;0,222015;0,257838;0,229896; ; ; ;0,144362;68,072441;49,988216;-19723,25195;-5725,730957;5725,730957;9459,144531;3450,436035;8654,805664;22728,25391;-0,661567;0,661567;-0,7467;-0,890801;5079,249023;242,83284;242,870148;243,418289;244,097839;244,462524;244,657227;240,164642;240,696655;240,2798;0,221862;0,243321;0,235991
11.08.2021;14:50:00; ;420,744904;421,243164;421,304993;25,775173;22,181414;10,18752;3,9657;38,3927;34,686069;17,696199;13,714735;15,238567;4,573465;4,712697;2,291445;0,697801;0,747223;0,763898; ; ; ;0,083335;61,50108;49,990723;-17250,07813;-7957,961914;7957,961914;3349,527344;6746,20752;11858,81543;19930,70703;-0,671059;0,671059;-0,733667;-0,926181;7345,464844;243,015244;242,932205;243,417816;244,629593;244,370041;244,737427;231,394409;230,073105;229,302628;0,717403;0,728155;0,784453
